Takashi Aiki	2004	26	Orix	JPPL	Fgn	37	0	0	0	0	0	0	0	0	0	0	0	0	\N	\N	\N	\N	0	0	0	0	0	0
Takashi Aiki	2005	27	Orix	JPPL	Fgn	12	0	0	0	0	0	0	0	0	0	0	0	0	\N	\N	\N	\N	0	0	0	0	0	0
Takashi Aiki	2006	28	Hanshin	JPCL	Fgn	13	0	0	0	0	0	0	0	0	0	0	0	0	\N	\N	\N	\N	0	0	0	0	0	0
Takashi Aiki	2007	29	Hanshin	JPCL	Fgn	4	0	0	0	0	0	0	0	0	0	0	0	0	\N	\N	\N	\N	0	0	0	0	0	0
Takeshi Aiko	1981	18	Lotte	JPPL	Fgn	13	0	0	0	0	0	0	0	0	0	0	0	0	\N	\N	\N	\N	0	0	0	0	0	0
Takeshi Aiko	1982	19	Lotte	JPPL	Fgn	5	0	0	0	0	0	0	0	0	0	0	0	0	\N	\N	\N	\N	0	0	0	0	0	0
Takeshi Aiko	1983	20	Lotte	JPPL	Fgn	48	0	0	0	0	0	0	0	0	0	0	0	0	\N	\N	\N	\N	0	0	0	0	0	0
Takeshi Aiko	1984	21	Lotte	JPPL	Fgn	2	6	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Takeshi Aiko	1985	22	Lotte	JPPL	Fgn	40	63	59	10	18	6	0	2	8	0	2	3	9	0.305	0.333	0.508	0.842	30	1	0	0	1	0
Takeshi Aiko	1986	23	Lotte	JPPL	Fgn	108	294	268	35	71	9	2	7	26	4	5	12	55	0.265	0.297	0.392	0.689	105	3	2	8	4	0
Takeshi Aiko	1987	24	Lotte	JPPL	Fgn	105	316	292	39	76	20	2	8	31	2	5	18	44	0.26	0.304	0.425	0.728	124	8	1	3	2	1
Takeshi Aiko	1988	25	Lotte	JPPL	Fgn	130	538	493	61	141	30	0	17	63	7	2	34	72	0.286	0.338	0.45	0.788	222	11	6	2	3	3
Takeshi Aiko	1989	26	Lotte	JPPL	Fgn	130	576	528	66	160	34	2	13	65	8	3	46	111	0.303	0.361	0.449	0.81	237	15	2	0	0	1
